Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET
2019-6-9,Brás,-23.5451,-46.6162,71427,73,22,25,2,9,8,33,40,REABASTECER
2019-6-11,Brás,-23.5451,-46.6162,71188,49,9,8,42,43,43,26,32,NORMAL
2019-12-28,Eucaliptos,-23.61,-46.6686,22410,62,20,65,30,18,23,43,39,NORMAL
2018-7-4,Paraíso,-23.57677,-46.63933,70621,8,53,23,24,34,8,8,24,REABASTECER
2019-6-30,Brás,-23.5451,-46.6162,73888,37,18,10,28,4,37,39,43,NORMAL
2018-1-8,Moema,-23.5489,-46.6388,18530,13,23,24,27,13,11,14,19,NORMAL
2018-1-12,Moema,-23.5489,-46.6388,17473,72,59,4,9,39,41,43,5,NORMAL
2018-1-15,Moema,-23.5489,-46.6388,20642,41,39,51,40,26,31,32,39,NORMAL
2018-1-17,Moema,-23.5489,-46.6388,18030,19,24,31,30,17,26,24,33,NORMAL
2018-1-18,Moema,-23.5489,-46.6388,17263,11,22,25,26,13,23,19,30,REABASTECER
2018-7-27,Paraíso,-23.57677,-46.63933,71705,62,50,9,24,25,30,39,15,REABASTECER
2018-2-4,Moema,-23.5489,-46.6388,18717,30,65,32,23,31,14,35,1,NORMAL
2018-8-10,Paraíso,-23.57677,-46.63933,72357,12,36,50,24,9,27,32,16,REABASTECER
2018-2-12,Moema,-23.5489,-46.6388,20127,37,22,32,13,43,32,3,10,REABASTECER
2018-8-18,Paraíso,-23.57677,-46.63933,72814,14,51,65,8,19,37,43,30,NORMAL
2018-8-21,Paraíso,-23.57677,-46.63933,72535,74,32,38,43,9,24,28,16,NORMAL
2019-8-16,Brás,-23.5451,-46.6162,71396,16,52,19,26,25,5,17,43,NORMAL
2019-8-23,Brás,-23.5451,-46.6162,72133,41,11,28,8,43,22,37,13,NORMAL
2019-9-1,Brás,-23.5451,-46.6162,70875,50,25,38,20,1,42,8,23,REABASTECER
2018-9-9,Paraíso,-23.57677,-46.63933,73554,67,57,54,43,20,27,43,38,NORMAL
2019-9-7,Brás,-23.5451,-46.6162,74067,77,49,58,38,23,31,30,43,NORMAL
2018-9-27,Paraíso,-23.57677,-46.63933,71686,53,11,60,37,31,21,14,43,NORMAL
2019-9-24,Brás,-23.5451,-46.6162,72927,62,16,13,15,4,22,5,25,NORMAL
2018-10-1,Paraíso,-23.57677,-46.63933,71430,10,54,35,26,15,12,41,28,REABASTECER
2019-10-3,Brás,-23.5451,-46.6162,73918,50,21,11,31,8,36,4,26,REABASTECER
2018-4-10,Moema,-23.5489,-46.6388,20370,64,5,0,14,29,29,22,24,REABASTECER
2018-4-12,Moema,-23.5489,-46.6388,18851,49,58,59,7,22,25,16,15,NORMAL
2019-10-21,Brás,-23.5451,-46.6162,71261,45,50,21,29,23,23,16,43,NORMAL
2018-5-3,Moema,-23.5489,-46.6388,20061,25,65,37,12,11,12,13,27,NORMAL
2018-5-6,Moema,-23.5489,-46.6388,18819,86,44,18,2,43,43,43,12,REABASTECER
2018-11-12,Paraíso,-23.57677,-46.63933,70282,32,9,17,43,17,24,11,27,REABASTECER
2018-11-15,Paraíso,-23.57677,-46.63933,70220,3,53,59,32,5,8,37,14,REABASTECER
2019-11-12,Brás,-23.5451,-46.6162,71929,13,33,9,13,29,42,22,40,REABASTECER
2019-11-21,Brás,-23.5451,-46.6162,74004,17,41,22,28,40,28,28,3,NORMAL
2018-12-3,Paraíso,-23.57677,-46.63933,70655,86,65,57,23,19,43,5,27,NORMAL
2018-5-30,Moema,-23.5489,-46.6388,19371,12,42,39,7,37,11,26,5,NORMAL
2019-11-30,Brás,-23.5451,-46.6162,71495,16,53,28,43,6,38,43,5,REABASTECER
2018-6-10,Moema,-23.5489,-46.6388,19530,78,32,31,20,41,26,31,8,NORMAL
2018-12-17,Paraíso,-23.57677,-46.63933,72995,42,53,25,32,10,34,38,15,NORMAL
2019-1-2,Paraíso,-23.57677,-46.63933,73614,66,42,59,17,40,40,28,40,NORMAL
2018-6-29,Moema,-23.5489,-46.6388,18722,69,50,43,43,10,10,43,7,NORMAL
2018-2-13,Barra Funda,-23.5542,-46.6707,149476,8,21,47,15,36,26,35,43,NORMAL
2019-2-24,Paraíso,-23.57677,-46.63933,72508,2,36,41,34,16,14,25,8,NORMAL
2018-2-20,Barra Funda,-23.5542,-46.6707,148348,23,31,65,32,5,40,5,19,NORMAL
2019-3-2,Paraíso,-23.57677,-46.63933,72903,6,65,59,18,31,39,40,17,NORMAL
2018-9-2,Moema,-23.5489,-46.6388,17086,42,32,26,43,4,36,43,13,REABASTECER
2019-3-6,Paraíso,-23.57677,-46.63933,70882,56,41,30,6,17,24,25,8,REABASTECER
2019-3-12,Paraíso,-23.57677,-46.63933,70171,2,12,52,30,35,43,7,27,NORMAL
2019-3-20,Paraíso,-23.57677,-46.63933,70808,17,42,60,37,3,26,16,38,NORMAL
2019-3-22,Paraíso,-23.57677,-46.63933,72726,86,34,47,34,40,22,12,29,NORMAL
2018-9-21,Moema,-23.5489,-46.6388,18111,26,46,37,25,15,25,16,22,NORMAL
2019-3-28,Paraíso,-23.57677,-46.63933,72941,28,65,65,17,24,9,31,9,NORMAL
2019-4-3,Paraíso,-23.57677,-46.63933,71257,67,39,36,41,6,34,17,31,REABASTECER
2018-10-10,Brás,-23.5451,-46.6162,74278,15,47,26,38,1,37,29,37,REABASTECER
2019-4-17,Eucaliptos,-23.61,-46.6686,22482,39,39,17,13,20,4,43,28,REABASTECER
2018-10-13,Brás,-23.5451,-46.6162,72935,73,25,10,26,39,30,15,25,NORMAL
2018-10-18,Brás,-23.5451,-46.6162,70592,28,52,43,13,18,14,41,43,NORMAL
2019-4-27,Eucaliptos,-23.61,-46.6686,24063,25,31,7,33,24,20,2,31,NORMAL
2019-11-2,Hospital São Paulo,-23.5984,-46.6455,26547,68,39,53,36,1,43,10,40,NORMAL
2018-10-26,Brás,-23.5451,-46.6162,74325,37,11,54,31,30,28,43,4,NORMAL
2018-11-2,Brás,-23.5451,-46.6162,72888,55,42,5,12,6,12,22,22,REABASTECER
2019-11-12,Hospital São Paulo,-23.5984,-46.6455,25267,54,42,49,3,5,5,15,41,REABASTECER
2019-11-13,Hospital São Paulo,-23.5984,-46.6455,27488,41,39,42,43,43,43,9,35,NORMAL
2018-11-9,Brás,-23.5451,-46.6162,72405,79,65,23,32,19,33,38,38,NORMAL
2019-5-19,Eucaliptos,-23.61,-46.6686,23838,73,27,51,43,21,39,43,38,NORMAL
2019-5-20,Eucaliptos,-23.61,-46.6686,22086,66,23,41,42,17,39,37,32,NORMAL
2018-11-15,Brás,-23.5451,-46.6162,71414,19,19,53,43,31,16,10,14,NORMAL
2019-5-27,Eucaliptos,-23.61,-46.6686,21886,5,45,65,12,31,11,10,3,REABASTECER
2019-5-30,Eucaliptos,-23.61,-46.6686,22627,66,33,45,38,20,4,43,38,NORMAL
2019-12-10,Hospital São Paulo,-23.5984,-46.6455,25648,41,20,65,42,43,38,32,17,NORMAL
2019-6-23,Eucaliptos,-23.61,-46.6686,23580,86,65,9,4,11,31,32,31,REABASTECER
2018-1-18,Paraíso,-23.57677,-46.63933,74017,7,41,8,21,11,43,25,19,REABASTECER
2019-7-21,Eucaliptos,-23.61,-46.6686,21845,86,5,10,43,34,26,43,1,NORMAL
2019-7-26,Eucaliptos,-23.61,-46.6686,23007,43,44,41,33,23,6,25,29,NORMAL
2019-1-22,Brás,-23.5451,-46.6162,73598,50,63,49,43,4,43,33,14,NORMAL
2018-2-5,Paraíso,-23.57677,-46.63933,73697,17,9,27,41,25,43,4,43,REABASTECER
2019-1-29,Brás,-23.5451,-46.6162,73533,61,19,65,19,24,28,6,22,REABASTECER
2018-2-8,Paraíso,-23.57677,-46.63933,71789,73,56,4,34,11,37,33,35,REABASTECER
2018-2-11,Paraíso,-23.57677,-46.63933,71207,38,28,48,29,43,32,15,21,NORMAL
2019-2-10,Brás,-23.5451,-46.6162,74436,37,12,65,28,22,35,38,19,NORMAL
2019-8-24,Eucaliptos,-23.61,-46.6686,21889,28,10,48,35,43,20,43,7,NORMAL
2018-2-29,Paraíso,-23.57677,-46.63933,70963,33,48,50,17,20,21,24,39,NORMAL
2018-3-5,Paraíso,-23.57677,-46.63933,70200,59,12,65,9,38,7,43,15,NORMAL
2019-3-2,Brás,-23.5451,-46.6162,74147,86,4,38,43,26,4,43,28,REABASTECER
2018-3-16,Paraíso,-23.57677,-46.63933,71156,36,13,55,25,32,14,37,6,REABASTECER
2019-9-23,Eucaliptos,-23.61,-46.6686,24458,86,29,51,4,16,29,10,6,REABASTECER
2018-3-26,Paraíso,-23.57677,-46.63933,70088,28,11,57,29,31,17,38,11,NORMAL
2019-9-28,Eucaliptos,-23.61,-46.6686,23398,41,65,24,35,38,8,34,25,NORMAL
2019-10-6,Eucaliptos,-23.61,-46.6686,23240,53,6,33,15,9,18,8,31,REABASTECER
2018-4-11,Paraíso,-23.57677,-46.63933,71579,57,52,24,32,10,15,26,29,NORMAL
2019-10-14,Eucaliptos,-23.61,-46.6686,24448,64,15,43,36,23,34,26,39,NORMAL
2018-4-30,Paraíso,-23.57677,-46.63933,71901,31,65,13,24,14,5,39,35,NORMAL
2019-11-2,Eucaliptos,-23.61,-46.6686,25304,67,49,65,20,38,29,5,10,REABASTECER
2018-5-7,Paraíso,-23.57677,-46.63933,70628,59,26,31,43,31,23,10,2,REABASTECER
2019-5-3,Brás,-23.5451,-46.6162,71786,75,56,12,42,19,33,4,19,NORMAL
2019-11-12,Eucaliptos,-23.61,-46.6686,22527,70,65,58,31,43,37,8,10,NORMAL
2018-5-17,Paraíso,-23.57677,-46.63933,72460,50,19,25,15,35,32,15,6,NORMAL
2019-5-21,Brás,-23.5451,-46.6162,70977,78,16,16,29,32,22,9,24,NORMAL
2019-11-29,Eucaliptos,-23.61,-46.6686,24761,79,11,65,21,10,25,24,23,NORMAL
2019-12-3,Eucaliptos,-23.61,-46.6686,23786,32,54,44,16,36,19,12,6,NORMAL
2019-6-2,Brás,-23.5451,-46.6162,71741,53,3,8,29,36,29,17,24,REABASTECER
2019-6-9,Brás,-23.5451,-46.6162,71427,73,22,25,2,9,8,33,40,REABASTECER
2019-6-11,Brás,-23.5451,-46.6162,71188,49,9,8,42,43,43,26,32,NORMAL
2019-12-28,Eucaliptos,-23.61,-46.6686,22410,62,20,65,30,18,23,43,39,NORMAL
2018-7-4,Paraíso,-23.57677,-46.63933,70621,8,53,23,24,34,8,8,24,REABASTECER
2019-6-30,Brás,-23.5451,-46.6162,73888,37,18,10,28,4,37,39,43,NORMAL
2018-1-8,Moema,-23.5489,-46.6388,18530,13,23,24,27,13,11,14,19,NORMAL
2018-1-12,Moema,-23.5489,-46.6388,17473,72,59,4,9,39,41,43,5,NORMAL
2018-1-15,Moema,-23.5489,-46.6388,20642,41,39,51,40,26,31,32,39,NORMAL
2018-1-17,Moema,-23.5489,-46.6388,18030,19,24,31,30,17,26,24,33,NORMAL
2018-1-18,Moema,-23.5489,-46.6388,17263,11,22,25,26,13,23,19,30,REABASTECER
2018-7-27,Paraíso,-23.57677,-46.63933,71705,62,50,9,24,25,30,39,15,REABASTECER
2018-2-4,Moema,-23.5489,-46.6388,18717,30,65,32,23,31,14,35,1,NORMAL
2018-8-10,Paraíso,-23.57677,-46.63933,72357,12,36,50,24,9,27,32,16,REABASTECER
2018-2-12,Moema,-23.5489,-46.6388,20127,37,22,32,13,43,32,3,10,REABASTECER
2018-8-18,Paraíso,-23.57677,-46.63933,72814,14,51,65,8,19,37,43,30,NORMAL
2018-8-21,Paraíso,-23.57677,-46.63933,72535,74,32,38,43,9,24,28,16,NORMAL
2019-8-16,Brás,-23.5451,-46.6162,71396,16,52,19,26,25,5,17,43,NORMAL
2019-8-23,Brás,-23.5451,-46.6162,72133,41,11,28,8,43,22,37,13,NORMAL
2019-9-1,Brás,-23.5451,-46.6162,70875,50,25,38,20,1,42,8,23,REABASTECER
2018-9-9,Paraíso,-23.57677,-46.63933,73554,67,57,54,43,20,27,43,38,NORMAL
2019-9-7,Brás,-23.5451,-46.6162,74067,77,49,58,38,23,31,30,43,NORMAL
2018-9-27,Paraíso,-23.57677,-46.63933,71686,53,11,60,37,31,21,14,43,NORMAL
2019-9-24,Brás,-23.5451,-46.6162,72927,62,16,13,15,4,22,5,25,NORMAL
2018-10-1,Paraíso,-23.57677,-46.63933,71430,10,54,35,26,15,12,41,28,REABASTECER
2019-10-3,Brás,-23.5451,-46.6162,73918,50,21,11,31,8,36,4,26,REABASTECER
2018-4-10,Moema,-23.5489,-46.6388,20370,64,5,0,14,29,29,22,24,REABASTECER
2018-4-12,Moema,-23.5489,-46.6388,18851,49,58,59,7,22,25,16,15,NORMAL
2019-10-21,Brás,-23.5451,-46.6162,71261,45,50,21,29,23,23,16,43,NORMAL
2018-5-3,Moema,-23.5489,-46.6388,20061,25,65,37,12,11,12,13,27,NORMAL
2018-5-6,Moema,-23.5489,-46.6388,18819,86,44,18,2,43,43,43,12,REABASTECER
2018-11-12,Paraíso,-23.57677,-46.63933,70282,32,9,17,43,17,24,11,27,REABASTECER
2018-11-15,Paraíso,-23.57677,-46.63933,70220,3,53,59,32,5,8,37,14,REABASTECER
2019-11-12,Brás,-23.5451,-46.6162,71929,13,33,9,13,29,42,22,40,REABASTECER
2019-11-21,Brás,-23.5451,-46.6162,74004,17,41,22,28,40,28,28,3,NORMAL
2018-12-3,Paraíso,-23.57677,-46.63933,70655,86,65,57,23,19,43,5,27,NORMAL
2018-5-30,Moema,-23.5489,-46.6388,19371,12,42,39,7,37,11,26,5,NORMAL
2019-11-30,Brás,-23.5451,-46.6162,71495,16,53,28,43,6,38,43,5,REABASTECER
2018-6-10,Moema,-23.5489,-46.6388,19530,78,32,31,20,41,26,31,8,NORMAL
2018-12-17,Paraíso,-23.57677,-46.63933,72995,42,53,25,32,10,34,38,15,NORMAL
2019-1-2,Paraíso,-23.57677,-46.63933,73614,66,42,59,17,40,40,28,40,NORMAL
2018-6-29,Moema,-23.5489,-46.6388,18722,69,50,43,43,10,10,43,7,NORMAL
2018-2-13,Barra Funda,-23.5542,-46.6707,149476,8,21,47,15,36,26,35,43,NORMAL
2019-2-24,Paraíso,-23.57677,-46.63933,72508,2,36,41,34,16,14,25,8,NORMAL
2018-2-20,Barra Funda,-23.5542,-46.6707,148348,23,31,65,32,5,40,5,19,NORMAL
2019-3-2,Paraíso,-23.57677,-46.63933,72903,6,65,59,18,31,39,40,17,NORMAL
2018-9-2,Moema,-23.5489,-46.6388,17086,42,32,26,43,4,36,43,13,REABASTECER
2019-3-6,Paraíso,-23.57677,-46.63933,70882,56,41,30,6,17,24,25,8,REABASTECER
2019-3-12,Paraíso,-23.57677,-46.63933,70171,2,12,52,30,35,43,7,27,NORMAL
2019-3-20,Paraíso,-23.57677,-46.63933,70808,17,42,60,37,3,26,16,38,NORMAL
2019-3-22,Paraíso,-23.57677,-46.63933,72726,86,34,47,34,40,22,12,29,NORMAL
2018-9-21,Moema,-23.5489,-46.6388,18111,26,46,37,25,15,25,16,22,NORMAL
2019-3-28,Paraíso,-23.57677,-46.63933,72941,28,65,65,17,24,9,31,9,NORMAL
2019-4-3,Paraíso,-23.57677,-46.63933,71257,67,39,36,41,6,34,17,31,REABASTECER
2018-3-30,Barra Funda,-23.5542,-46.6707,149197,73,65,41,35,22,10,11,22,NORMAL
2019-12-15,Brigadeiro,-23.5683,-46.6482,46642,67,14,41,7,13,34,16,20,NORMAL
2018-2-28,Brigadeiro,-23.5683,-46.6482,47789,39,54,65,9,38,30,23,38,NORMAL
2018-3-1,Brigadeiro,-23.5683,-46.6482,46891,7,45,42,37,29,16,13,27,REABASTECER
2018-12-26,Tatuapé,-23.5402,-46.5765,67636,7,65,35,19,4,25,7,14,REABASTECER
2018-12-28,Tatuapé,-23.5402,-46.5765,68496,77,47,25,11,40,19,43,5,NORMAL
2018-4-6,Brigadeiro,-23.5683,-46.6482,46963,30,15,38,22,43,25,3,11,NORMAL
2018-4-9,Brigadeiro,-23.5683,-46.6482,48903,86,57,17,13,28,18,37,39,NORMAL
2018-1-28,Trianon-Masp,-23.5634,-46.6544,42337,86,29,6,39,22,9,8,21,NORMAL
2019-2-4,Tatuapé,-23.5402,-46.5765,69179,66,17,46,25,23,13,43,36,NORMAL
2018-2-5,Trianon-Masp,-23.5634,-46.6544,43215,17,48,29,20,43,31,20,34,NORMAL
2018-4-17,Brigadeiro,-23.5683,-46.6482,45954,6,17,17,29,30,3,43,7,REABASTECER
2018-2-7,Trianon-Masp,-23.5634,-46.6544,44168,86,36,12,18,35,19,9,24,NORMAL
2018-4-20,Brigadeiro,-23.5683,-46.6482,47805,64,65,55,20,18,38,34,39,NORMAL
2018-2-9,Trianon-Masp,-23.5634,-46.6544,45513,63,25,65,12,27,9,43,18,NORMAL
2018-4-22,Brigadeiro,-23.5683,-46.6482,49795,39,56,44,16,14,32,24,32,NORMAL
2018-2-13,Trianon-Masp,-23.5634,-46.6544,44453,21,65,33,5,7,33,30,43,REABASTECER
2019-2-16,Tatuapé,-23.5402,-46.5765,67937,33,1,37,39,19,23,34,33,REABASTECER
2018-4-25,Brigadeiro,-23.5683,-46.6482,49538,8,41,20,9,43,23,11,25,REABASTECER
2018-2-19,Trianon-Masp,-23.5634,-46.6544,44588,57,31,61,28,32,16,12,21,NORMAL
2018-5-4,Brigadeiro,-23.5683,-46.6482,47805,9,63,26,31,43,42,21,36,NORMAL
2018-2-25,Trianon-Masp,-23.5634,-46.6544,45465,86,57,17,11,2,43,36,43,NORMAL
2018-5-14,Brigadeiro,-23.5683,-46.6482,47866,86,54,22,43,43,17,22,38,NORMAL
2018-3-10,Trianon-Masp,-23.5634,-46.6544,45607,24,23,43,6,29,37,18,23,NORMAL
2018-5-25,Brigadeiro,-23.5683,-46.6482,46503,44,61,11,8,38,26,26,31,NORMAL
2018-3-24,Trianon-Masp,-23.5634,-46.6544,42790,55,47,14,16,23,43,7,40,NORMAL
2019-3-30,Tatuapé,-23.5402,-46.5765,68340,21,38,9,27,7,16,2,41,REABASTECER
2019-4-15,Tatuapé,-23.5402,-46.5765,67680,54,13,39,21,26,17,39,27,NORMAL
2018-4-15,Trianon-Masp,-23.5634,-46.6544,42673,10,65,65,37,40,38,8,40,NORMAL
2018-4-24,Trianon-Masp,-23.5634,-46.6544,43753,5,18,65,3,38,19,17,5,REABASTECER
2019-4-28,Tatuapé,-23.5402,-46.5765,69355,86,65,10,23,17,25,28,17,NORMAL
2018-5-3,Trianon-Masp,-23.5634,-46.6544,44544,7,24,65,20,40,39,30,8,REABASTECER
2018-5-6,Trianon-Masp,-23.5634,-46.6544,43614,64,7,41,15,26,29,17,38,REABASTECER
2018-5-9,Trianon-Masp,-23.5634,-46.6544,43734,35,53,22,9,12,16,5,23,NORMAL
2019-5-13,Tatuapé,-23.5402,-46.5765,69937,19,20,34,11,5,20,22,35,REABASTECER
2018-7-27,Brigadeiro,-23.5683,-46.6482,48330,54,62,39,34,39,19,23,39,NORMAL
2018-5-21,Trianon-Masp,-23.5634,-46.6544,42234,7,47,10,8,43,27,5,16,REABASTECER
2018-5-23,Trianon-Masp,-23.5634,-46.6544,43361,77,30,65,43,34,19,39,9,NORMAL
2018-8-6,Brigadeiro,-23.5683,-46.6482,48814,63,22,42,43,43,41,31,38,NORMAL
2019-6-14,Tatuapé,-23.5402,-46.5765,67568,63,22,6,37,6,43,31,32,NORMAL
2018-8-25,Brigadeiro,-23.5683,-46.6482,49318,57,20,46,31,43,26,37,43,NORMAL
2019-6-23,Tatuapé,-23.5402,-46.5765,69098,57,32,7,19,6,24,43,41,NORMAL
2018-9-4,Brigadeiro,-23.5683,-46.6482,46704,54,30,44,40,6,2,6,4,REABASTECER
2018-6-23,Trianon-Masp,-23.5634,-46.6544,42549,37,40,50,35,41,13,19,33,NORMAL
2019-7-5,Tatuapé,-23.5402,-46.5765,69535,34,37,52,26,8,29,40,37,NORMAL
2019-7-29,Tatuapé,-23.5402,-46.5765,67361,56,23,9,26,6,6,34,26,NORMAL
2018-10-11,Brigadeiro,-23.5683,-46.6482,48349,33,15,65,28,14,38,24,35,NORMAL
2019-8-9,Tatuapé,-23.5402,-46.5765,70792,47,33,5,37,3,12,38,31,REABASTECER
2018-8-12,Trianon-Masp,-23.5634,-46.6544,43507,8,37,11,33,22,32,37,43,REABASTECER
2019-8-23,Tatuapé,-23.5402,-46.5765,69300,2,13,49,27,28,8,22,20,REABASTECER
2018-11-19,Brigadeiro,-23.5683,-46.6482,46853,17,65,52,21,40,43,35,22,NORMAL
2018-9-12,Trianon-Masp,-23.5634,-46.6544,43447,54,52,65,30,38,30,5,43,NORMAL
2019-9-20,Tatuapé,-23.5402,-46.5765,68061,24,27,5,38,6,22,32,37,REABASTECER
2018-11-23,Brigadeiro,-23.5683,-46.6482,46668,64,46,30,6,21,31,16,43,REABASTECER
2018-11-24,Brigadeiro,-23.5683,-46.6482,49276,56,44,25,43,19,30,14,41,NORMAL
2019-9-30,Tatuapé,-23.5402,-46.5765,69154,19,21,55,3,8,37,35,39,REABASTECER
2018-12-1,Brigadeiro,-23.5683,-46.6482,46854,75,62,37,20,37,10,32,18,NORMAL
2018-10-3,Trianon-Masp,-23.5634,-46.6544,42885,21,53,42,38,35,8,10,40,NORMAL
2019-10-15,Tatuapé,-23.5402,-46.5765,67518,36,52,24,26,23,38,22,28,NORMAL
2018-12-16,Brigadeiro,-23.5683,-46.6482,48436,24,22,65,26,18,34,9,5,REABASTECER
2019-10-24,Tatuapé,-23.5402,-46.5765,67444,38,65,35,43,32,17,34,37,NORMAL
2018-10-21,Trianon-Masp,-23.5634,-46.6544,43258,2,11,10,35,43,31,21,8,REABASTECER
2018-10-23,Trianon-Masp,-23.5634,-46.6544,43526,74,65,65,31,33,26,12,43,NORMAL
2018-10-24,Trianon-Masp,-23.5634,-46.6544,44196,62,62,59,27,28,26,10,39,NORMAL
2018-12-25,Brigadeiro,-23.5683,-46.6482,49610,17,41,65,39,26,11,16,12,NORMAL
2019-11-4,Tatuapé,-23.5402,-46.5765,70008,30,65,35,43,43,31,33,43,NORMAL
2019-1-18,Brigadeiro,-23.5683,-46.6482,47621,57,25,43,19,29,43,16,7,NORMAL
2019-1-25,Brigadeiro,-23.5683,-46.6482,47185,74,52,61,37,4,33,30,22,NORMAL
